id_contrato,nome_contrato,objeto_contrato,valor_contrato,inicio_vigencia,termino_vigencia
126,05/2019.,Contratação de fornecedor de óleo diesel para abastecimento dos geradores de energia,11097.0,160,198
127,007/2019,Serviços de engenharia e arquitetura para a elaboração de projetos de reforma e ampliação,323572.52,164,203
128,008/2018,Serviços de impressão gráfica e diagramação,957981.0,165,204
129,005/2015,Contratação de Estagiários,7401.01,167,210
130,Disp. Lic. 41,Assinatura do Jornal O Globo,358.8,163,201
131,009/2018, Serviços de Suporte Tecnológico ao Ambiente de TI da AEB.,2063698.28,166,209
132,006/2015,Manutenção Preventiva e corretiva dos elevadores do Bloco A-,10990.06,168,213
133,005/2016,Transporte Rodoviário de Carga,321469.24,173,215
134,009/2019,Tranporte terrestre de servidores (TáxiGov),95807.3,175,217
135,Disp. Lic. 42,Locação de Veículo,14950.0,250,251
136,Disp. Lic. 43,Aquisição de Gasolina,4246.0,249,252
137,Disp. Lic. 44,Assinatura da Revista Isto É,1281.0,101,219
138,0010/2019,Solução de Back Up,1522056.0,177,220
139,Disp. Lic. 45,Solução de Controle de Ponto,8802.6,180,223
140,Inexigibilidade 1,Assinatura do Jornal Folha de São Paulo,358.8,179,221
141,25/2018,Contratção de empresa de vigilância,328350.0,183,225
142,Disp. Lic. 46,Assinatura do Jornal Estado de São Paulo,356.72,182,224
143,Disp. Lic. 47,Prestação de serviço na confecção de Chaves,4740.0,184,226
144,Disp. Lic. 48,Prestação de serviço na confecção de Carimbos,1225.0,184,226
145,011/2019,Contratação de serviços de Secretariado Executivo/Bilingue,1857058.94,185,227
146,012/2019,Contratação de serviços de Apoio Administrativo,5302511.16,186,228
147,Disp. Lic. 49,Assinatura do Jornal Correio Braziliense,389.22,188,229
148,Disp. Lic. 50,Assinatura de Jornais e Revistas – Veja,1455.84,158,236
149,005/2016,Transporte Rodoviário de Carga,321469.24,173,215
150,009/2019,Transporte terrestre de servidores (TáxiGov),95807.3,176,218
151,Disp. Lic. 51,Assinatura da Revista Isto É,1281.0,101,219
152,0010/2019,Solução de Back Up,1522056.0,177,220
153,Disp. Lic. 52,Solução de Controle de Ponto,8802.6,180,223
154,Inexigibilidade 2,Assinatura do Jornal Folha de São Paulo,358.8,179,221
155,Disp. Lic. 53,Assinatura do Jornal O Globo,358.8,163,222
156,25/2018,Contratação de empresa de vigilância,338910.24,183,225
157,Disp. Lic. 54,Assinatura do Jornal Estado de São Paulo,356.72,182,224
158,Disp. Lic. 55,Prestação de serviço na confecção de Chaves,4740.0,184,226
159,Disp. Lic. 56,Prestação de serviço na confecção de Carimbos,1225.0,184,226
160,Disp. Licic. 57,Fornecimento de água mineral natural ou potável,17550.0,191,226
161,011/2019,Contratação de serviços de Secretariado Executivo/Bilingue,1857058.94,185,227
162,012/2019,Contratação de serviços de Apoio Administrativo,5552088.6,186,228
163,Disp. Lic. 58,Assinatura do Jornal Correio Braziliense,389.22,188,229
164,002/2020,"Locação de veículo de representação, com fornecimento de combustível e motorista",149300.0,189,230
165,004/2020,Agenciamento de viagens,1500056.82,193,231
166,005/2020,Serviços de engenharia,32870.86,194,232
167,002/2019,Publicações Legais,17000.0,195,233
168,004/16,Serviços de Telefonia Móvel (Celulares),62780.6,197,235
169,007/2018,Prestação pela ECT de Serviços e Vendas de Produtos – ECT,25000.0,196,234
170,Disp. Lic. 59,Assinatura de Jornais e Revistas – Veja,1455.84,158,236
171,Inexigibilidade 3,Assinatura da harvard Business Review Brasil,524.0,199,237
172,007/2020,Serviço DaaS (Dados como Serviço),338815.92,200,238
173,008/2020,Contratação de licenças com suporte e atualização da ferramenta Microsoft Power BI Pro,22087.24,200,238
174,008/2018,Serviços de impressão gráfica e diagramação,718485.75,204,240
175,Disp. Inex. 60,Assinatura da Revista  Época,454.8,206,206
176,Disp. Lic. 61,"Assinatura de banco de imagens, vídeo e trilha sonora ",34950.0,202,239
177,Disp. Lic. 62,Gestão e Avaliação de Desempenho,17592.0,205,241
178,15/2020,Contratação de Estagiários,20160.0,211,245
179,11/2020,Aquisição de materiais de consumo,68227.8,207,242
180,13/2020,Contratação de serviços ofertados pelo SESI/Sistema FIBRA,134211.84,208,243
181,009/2018, Serviços de Suporte Tecnológico ao Ambiente de TI da AEB.,2107768.42,209,244
182,16/2020,Aquisição e Instalação de divisórias,5541773.0,212,246
183,18/2020,Manutenção Preventiva e corretiva dos elevadores do Bloco A-,9600.0,213,247
184,20/2020,Contratação de Serviço comum de engenharia,102600.0,214,248
